Year,Week,Month,Country,Province,Policy,Population,Cases,AT,TP,AH,RH
2010,1,1,Malaysia,JOHOR,0,3362900,46,25.53653396,0.323159943,30.63698252,91.86766023
2010,2,1,Malaysia,JOHOR,0,3362900,49,24.78662206,8.41E-04,29.24820201,89.02973137
2010,3,1,Malaysia,JOHOR,0,3362900,71,25.37713227,0.027347075,29.35377739,86.76755412
2010,4,1,Malaysia,JOHOR,0,3362900,79,25.6418433,0.010170069,30.29017892,89.70871535
2010,5,2,Malaysia,JOHOR,0,3362900,75,25.69291911,2.40E-04,30.06577496,88.43929283
2010,6,2,Malaysia,JOHOR,0,3362900,54,26.07376052,0.02122101,30.56441657,88.91324447
2010,7,2,Malaysia,JOHOR,0,3362900,59,26.45882509,0.020580376,30.15952698,85.29063007
2010,8,2,Malaysia,JOHOR,0,3362900,50,26.38052341,5.21E-04,30.22036161,85.9007569
2010,9,3,Malaysia,JOHOR,0,3362900,45,27.08650935,0.008488404,31.13406222,86.76035287
2010,10,3,Malaysia,JOHOR,0,3362900,59,26.64778887,0.011731615,29.76296042,82.71744552
2010,11,3,Malaysia,JOHOR,0,3362900,53,25.95929886,0.211129028,30.56089635,89.44463822
2010,12,3,Malaysia,JOHOR,0,3362900,51,26.26758928,0.141379973,31.15264408,90.75773336
2010,13,3,Malaysia,JOHOR,0,3362900,66,26.18609134,0.114393255,30.9205188,90.0383202
2010,14,4,Malaysia,JOHOR,0,3362900,55,26.82608565,0.138737356,31.46768177,89.55968346
2010,15,4,Malaysia,JOHOR,0,3362900,79,26.97140587,0.341978575,31.41142852,88.63171702
2010,16,4,Malaysia,JOHOR,0,3362900,50,26.45879942,0.020580376,31.40722222,90.99386941
2010,17,4,Malaysia,JOHOR,0,3362900,62,26.46688631,0.002802775,31.33187616,90.6072149
2010,18,5,Malaysia,JOHOR,0,3362900,88,27.61407014,0.048287807,31.81381997,87.41296489
2010,19,5,Malaysia,JOHOR,0,3362900,53,26.88857296,0.116995831,31.81873368,90.87140717
2010,20,5,Malaysia,JOHOR,0,3362900,61,26.71910758,0.579133369,31.78983195,91.57238617
2010,21,5,Malaysia,JOHOR,0,3362900,90,27.56729452,0.01449435,31.89153113,88.01553619
