Year,Week,Month,Country,Policy,Population,Cases,AT,TP,AH,RH
2012,1,1,Singapore,0,5312437,74,25.58814663,0.041412614,29.5434692,86.55548115
2012,2,1,Singapore,0,5312437,64,25.32459781,0.128155921,29.88290606,89.35544744
2012,3,1,Singapore,0,5312437,60,25.90395478,0.025045952,30.13468884,87.7312159
2012,4,1,Singapore,0,5312437,50,25.45585156,0.001190303,29.37126933,86.39434314
2012,5,1,Singapore,0,5312437,84,25.57668009,0.107474412,30.01470834,88.73906515
2012,6,2,Singapore,0,5312437,87,25.78960419,0.052398115,29.77186179,86.64191176
2012,7,2,Singapore,0,5312437,65,25.75878862,0.23248099,30.00126049,87.81894209
2012,8,2,Singapore,0,5312437,50,26.34279517,0.061994931,30.37804394,86.77296395
2012,9,2,Singapore,0,5312437,55,26.27518254,0.159004598,30.4262394,87.34008149
2012,10,3,Singapore,0,5312437,45,26.56724636,0.072856442,30.26741915,85.30967416
2012,11,3,Singapore,0,5312437,64,25.60988099,0.181372369,30.02266703,88.62551444
2012,12,3,Singapore,0,5312437,72,26.78231363,0.003496514,30.82310676,86.7431954
2012,13,3,Singapore,0,5312437,48,26.62879274,0.173263432,30.52268877,86.11745236
2012,14,4,Singapore,0,5312437,52,26.58057757,0.218767711,29.99498319,84.05252734
2012,15,4,Singapore,0,5312437,81,26.73934134,0.010266361,30.36074479,84.89139895
2012,16,4,Singapore,0,5312437,77,27.24911203,0.054605135,30.83732523,84.70985114
2012,17,4,Singapore,0,5312437,64,27.22514975,0.320464195,31.11536887,86.05342741
2012,18,4,Singapore,0,5312437,86,27.19644102,0.16840303,30.59004632,83.9398746
2012,19,5,Singapore,0,5312437,96,27.05083895,0.343947875,30.9095193,85.91054316
2012,20,5,Singapore,0,5312437,80,27.57065952,0.048232056,31.36588961,85.59260197
2012,21,5,Singapore,0,5312437,80,27.52009534,0.064995485,30.92742347,83.88951571
2012,22,5,Singapore,0,5312437,81,27.24414764,0.129172637,31.11046771,85.94804765
2012,23,6,Singapore,0,5312437,99,27.65499368,0.020855095,31.25640426,84.78333661
2012,24,6,Singapore,0,5312437,87,28.17732066,0.012994137,30.9843565,81.25195951
2012,25,6,Singapore,0,5312437,128,27.72016045,0.044140391,30.8843615,82.79795244
2012,26,6,Singapore,0,5312437,151,27.21997951,0.145836875,30.27842294,82.36927264
2012,27,7,Singapore,0,5312437,140,26.52818505,0.342336007,30.22250066,85.25212065
2012,28,7,Singapore,0,5312437,131,26.73139831,0.236250282,30.23584485,84.37603281
2012,29,7,Singapore,0,5312437,124,26.66799935,0.094009113,30.19009824,84.4519997
2012,30,7,Singapore,0,5312437,110,27.3916386,0.018152116,30.05466453,80.70829638
2012,31,7,Singapore,0,5312437,94,27.54953057,0.004364443,29.90228226,79.43794159
2012,32,8,Singapore,0,5312437,127,27.37778672,0.001909444,29.70140919,79.27824177
2012,33,8,Singapore,0,5312437,115,27.28586066,0.006050705,30.21322268,81.85157606
2012,34,8,Singapore,0,5312437,92,27.07373571,0.020458327,30.33673381,83.26715975
2012,35,8,Singapore,0,5312437,102,26.8701592,0.053588418,30.07329106,83.06768706
2012,36,9,Singapore,0,5312437,75,26.71552435,0.066260182,30.29327061,84.74094822
2012,37,9,Singapore,0,5312437,73,27.20888833,0.003149342,30.11155321,81.77589684
