,Year,Month,Country,Province,Policy,Population,Cases,AHo,ATo,RHo,TPo
0,2010,1,Thailand,Amnat Charoen,0,372137,1,24.23168886,22.51441317,78.24092056,0.008770408
1,2010,2,Thailand,Amnat Charoen,0,372137,1,26.77446302,25.36574382,76.19718727,0.047097714
2,2010,3,Thailand,Amnat Charoen,0,372137,1,24.91001707,26.21655472,66.20287207,8.67E-16
3,2010,4,Thailand,Amnat Charoen,0,372137,4,28.73523835,28.77065825,70.48009511,0.001472795
4,2010,5,Thailand,Amnat Charoen,0,372137,18,30.8219565,28.38030698,79.98848417,0.081384557
5,2010,6,Thailand,Amnat Charoen,0,372137,39,31.45805085,27.81303867,85.04808962,0.325994217
6,2010,7,Thailand,Amnat Charoen,0,372137,70,31.12546248,27.38894685,85.64102117,0.307763634
7,2010,8,Thailand,Amnat Charoen,0,372137,44,31.23141112,26.13730672,91.79632012,0.410323861
8,2010,9,Thailand,Amnat Charoen,0,372137,13,31.22721462,26.24745879,91.2296881,0.204001592
9,2010,10,Thailand,Amnat Charoen,0,372137,3,28.51280382,24.70541059,86.59710942,0.145703393
10,2010,11,Thailand,Amnat Charoen,0,372137,1,24.82709402,23.05229222,78.18875327,0.035993864
11,2010,12,Thailand,Amnat Charoen,0,372137,3,23.45276813,21.97922603,77.49934674,8.67E-16
12,2010,1,Thailand,Ang Thong,0,284970,7,27.37536351,25.80195646,76.94191735,0.035960916
13,2010,2,Thailand,Ang Thong,0,284970,14,28.9294629,28.41799725,72.27489333,0.004237928
14,2010,3,Thailand,Ang Thong,0,284970,12,27.11324825,29.31650629,62.93723519,4.51E-05
15,2010,4,Thailand,Ang Thong,0,284970,13,28.68150004,30.9280107,62.85372092,0.028720183
16,2010,5,Thailand,Ang Thong,0,284970,11,30.69495569,30.6429827,70.78706263,0.042445918
17,2010,6,Thailand,Ang Thong,0,284970,11,31.368886,29.38952634,78.22757927,0.032342856
18,2010,7,Thailand,Ang Thong,0,284970,37,31.42760084,28.50164518,82.05751793,0.124521066
19,2010,8,Thailand,Ang Thong,0,284970,49,31.16846681,27.61157074,84.78319127,0.162645655
20,2010,9,Thailand,Ang Thong,0,284970,36,31.81246977,27.58024655,87.69797763,0.253154917
21,2010,10,Thailand,Ang Thong,0,284970,10,30.68633228,26.81810645,86.40816093,0.388281593
22,2010,11,Thailand,Ang Thong,0,284970,5,26.95904235,26.18666351,73.51219629,0.000317178
23,2010,12,Thailand,Ang Thong,0,284970,4,26.1886212,25.50306944,73.48797515,0.000965979
24,2010,1,Thailand,Bangkok,0,5701394,198,28.86401129,25.70743293,83.37758402,0.065111293
25,2010,2,Thailand,Bangkok,0,5701394,172,31.22799495,27.68244853,84.49183157,0.000448041
26,2010,3,Thailand,Bangkok,0,5701394,171,30.53101168,28.44638058,78.49405104,0.000271563
27,2010,4,Thailand,Bangkok,0,5701394,132,31.9378089,29.76450219,78.66202805,0.000775819
